Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,GOOGL,sideways,0.3,52.5,0.1575,272126.11,15.0,0.045,208908.65,50.0,0.15,267911.61,40.0,0.12,251053.62,0.3,250750.0,Signal Follower
2,2025-07-09,GOOGL,sideways,0.78,52.5,0.4095,289642.23,15.0,0.117,173409.95,55.0,0.429,289341.1,40.0,0.312,247606.72,0.78,252705.85,Defector
3,2025-07-03,GOOGL,sideways,0.58,52.5,0.3045,296475.82,15.0,0.087,141247.84,55.0,0.319,300200.26,58.75,0.3408,262076.08,0.58,254171.54,Defector
4,2025-06-30,GOOGL,sideways,-2.52,60.71,-1.5299,296974.74,70.0,-1.764,117584.29,55.0,-1.386,331940.65,62.6,-1.5775,253500.31,-2.52,247766.42,Cooperator
5,2025-06-25,GOOGL,sideways,1.82,67.12,1.2215,302313.08,40.0,0.728,102883.24,85.0,1.547,369209.79,42.83,0.7796,225593.88,1.82,252275.77,Defector
6,2025-06-20,GOOGL,bear,-4.2,67.12,-2.8189,264974.65,50.0,-2.1,106880.17,40.0,-1.68,418572.39,61.58,-2.5865,209572.79,-4.2,241680.19,Cooperator
7,2025-06-16,GOOGL,sideways,1.17,52.5,0.6143,257958.38,15.0,0.1755,88836.64,85.0,0.9945,459125.09,40.0,0.468,194079.9,1.17,244507.85,Defector
8,2025-06-11,GOOGL,bear,-1.35,52.5,-0.7088,240483.94,50.0,-0.675,85987.28,40.0,-0.54,509901.81,58.75,-0.7931,163626.97,-1.35,241206.99,Cooperator
9,2025-06-06,GOOGL,sideways,1.67,52.5,0.8768,231483.22,35.0,0.5845,72287.25,70.0,1.169,552973.81,40.0,0.668,143255.73,1.67,245235.15,Defector
10,2025-06-03,GOOGL,sideways,-0.78,50.43,-0.3933,218242.53,50.0,-0.39,68558.57,40.0,-0.312,596877.47,60.42,-0.4712,116321.42,-0.78,243322.31,Cooperator
11,2025-05-29,GOOGL,bear,-1.23,67.12,-0.8255,189866.66,50.0,-0.615,73230.66,55.0,-0.6765,603003.39,42.83,-0.5268,133899.29,-1.23,240329.45,Cooperator
12,2025-05-23,GOOGL,bear,-0.35,52.5,-0.1838,206376.67,50.0,-0.175,81429.22,70.0,-0.245,549914.4,40.0,-0.14,162279.71,-0.35,239488.29,Cooperator
13,2025-05-20,GOOGL,bear,-1.47,65.15,-0.9576,184703.04,35.0,-0.5145,94742.95,55.0,-0.8085,541859.88,42.0,-0.6174,178694.13,-1.47,235967.82,Cooperator
14,2025-05-15,GOOGL,bear,-1.13,52.5,-0.5933,191254.71,35.0,-0.3955,110389.95,70.0,-0.791,490811.59,35.5,-0.4012,207543.75,-1.13,233301.38,Cooperator
15,2025-05-12,GOOGL,bear,0.62,50.43,0.3127,184901.9,35.0,0.217,95276.59,70.0,0.434,539065.02,36.17,0.2242,180756.49,0.62,234747.85,Defector
16,2025-05-07,GOOGL,bear,-7.74,62.45,-4.8339,174550.18,35.0,-2.709,112989.58,55.0,-4.257,544286.92,64.0,-4.9536,168173.32,-7.74,216578.37,Cooperator
17,2025-05-02,GOOGL,bear,0.38,50.43,0.1916,165248.33,15.0,0.057,93143.46,90.0,0.342,589663.96,37.92,0.1441,151944.25,0.38,217401.36,Defector
18,2025-04-29,GOOGL,bear,-0.1,52.5,-0.0525,164581.99,20.0,-0.02,112998.95,55.0,-0.055,577434.18,58.75,-0.0588,144984.87,-0.1,217183.96,Cooperator
19,2025-04-24,GOOGL,bear,2.0,52.5,1.05,170757.73,20.0,0.4,95069.61,55.0,1.1,607816.14,25.0,0.5,126356.52,2.0,221527.64,Defector
20,2025-04-21,GOOGL,bear,-0.81,62.17,-0.5036,153441.63,70.0,-0.567,79385.99,40.0,-0.324,655591.03,64.08,-0.5191,111581.36,-0.81,219733.27,Cooperator
21,2025-04-15,GOOGL,bear,-1.77,53.96,-0.9552,150249.7,50.0,-0.885,83680.8,55.0,-0.9735,629126.76,40.83,-0.7228,136942.74,-1.77,215843.99,Cooperator
22,2025-04-10,GOOGL,bear,-2.38,62.45,-1.4864,152169.74,50.0,-1.19,95791.06,70.0,-1.666,586862.94,44.2,-1.052,165176.26,-2.38,210706.9,Cooperator
23,2025-04-07,GOOGL,bear,3.67,64.78,2.3774,148870.38,15.0,0.5505,77524.39,90.0,3.303,624392.43,42.7,1.5671,149212.8,3.67,218439.84,Defector
24,2025-04-02,GOOGL,bear,1.22,62.45,0.7619,172393.1,60.0,0.732,88486.62,25.0,0.305,564768.5,64.0,0.7808,174351.78,1.22,221104.81,Defector
25,2025-03-28,GOOGL,bear,-3.84,67.12,-2.5773,150716.91,70.0,-2.688,75344.36,40.0,-1.536,614823.58,62.27,-2.391,159115.15,-3.84,212614.39,Cooperator
26,2025-03-25,GOOGL,sideways,0.94,52.5,0.4935,137816.33,40.0,0.376,64167.49,85.0,0.799,662504.76,40.0,0.376,135511.42,0.94,214612.96,Defector
27,2025-03-20,GOOGL,sideways,0.76,62.45,0.4746,145439.4,35.0,0.266,52702.45,55.0,0.418,657064.66,64.0,0.4864,144793.49,0.76,216244.02,Defector
28,2025-03-17,GOOGL,sideways,-0.45,62.45,-0.281,137648.53,35.0,-0.1575,62603.38,55.0,-0.2475,664935.14,64.2,-0.2889,134812.94,-0.45,215270.92,Cooperator
29,2025-03-12,GOOGL,sideways,0.32,62.45,0.1999,152782.17,50.0,0.16,59473.28,55.0,0.176,674389.61,41.5,0.1328,113354.94,0.32,215959.79,Defector
30,2025-03-07,GOOGL,sideways,1.52,62.45,0.9493,168110.56,50.0,0.76,52151.34,55.0,0.836,651864.49,64.0,0.9728,127873.61,1.52,219242.38,Defector
31,2025-03-04,GOOGL,bull,2.82,64.78,1.8268,198182.24,50.0,1.41,53405.32,40.0,1.128,599244.11,63.6,1.7935,149168.33,2.82,225425.01,Defector
32,2025-02-27,GOOGL,bull,-3.16,62.45,-1.9735,180140.28,90.0,-2.844,43522.6,15.0,-0.474,641739.76,64.4,-2.035,134597.36,-3.16,218301.58,Cooperator
33,2025-02-24,GOOGL,sideways,-1.51,67.12,-1.0135,187619.3,40.0,-0.604,52302.69,85.0,-1.2835,600580.66,42.83,-0.6468,159497.36,-1.51,215005.23,Cooperator
34,2025-02-19,GOOGL,sideways,0.65,62.17,0.4041,187083.35,35.0,0.2275,42601.31,70.0,0.455,630468.07,44.27,0.2877,139847.27,0.65,216402.76,Defector
35,2025-02-13,GOOGL,sideways,0.99,64.78,0.6413,198885.14,35.0,0.3465,34824.37,55.0,0.5445,619384.87,63.25,0.6262,146905.62,0.99,218545.15,Defector
