Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,LLY,sideways,1.18,41.0,0.4838,293301.27,27.0,0.3186,235566.24,27.0,0.3186,235566.24,27.0,0.3186,235566.24,1.18,1011800.0,Signal Follower
2,2025-07-09,LLY,sideways,0.4,7.71,0.0309,262346.77,10.0,0.04,231050.52,10.0,0.04,231050.52,15.0,0.06,275552.18,0.4,1015847.2,Tit-for-Tat
3,2025-07-03,LLY,sideways,0.03,5.0,0.0015,243495.34,11.7,0.0035,219612.66,79.55,0.0239,271942.27,15.0,0.0045,264949.73,0.03,1016151.95,Defector
4,2025-06-30,LLY,sideways,0.13,43.49,0.0565,226688.26,31.93,0.0415,190804.76,79.72,0.1036,306104.56,64.38,0.0837,276402.42,0.13,1017472.95,Defector
5,2025-06-25,LLY,bull,1.71,10.17,0.1739,205647.7,46.77,0.7998,201806.39,10.0,0.171,277476.87,66.77,1.1418,315069.04,1.71,1034871.74,Tit-for-Tat
6,2025-06-20,LLY,sideways,-2.96,7.71,-0.2283,226672.73,23.29,-0.6893,204068.91,10.0,-0.296,302138.08,51.24,-1.5168,267120.28,-2.96,1004239.54,Signal Follower
7,2025-06-16,LLY,sideways,-1.72,5.0,-0.086,249927.27,21.0,-0.3612,212105.1,71.29,-1.2262,253997.25,15.0,-0.258,283970.37,-1.72,986966.62,Signal Follower
8,2025-06-11,LLY,sideways,-0.13,7.71,-0.01,271112.59,24.3,-0.0316,217383.96,78.17,-0.1016,210930.71,15.0,-0.0195,300572.74,-0.13,985683.56,Signal Follower
9,2025-06-06,LLY,sideways,0.18,5.0,0.009,247848.95,29.19,0.0525,217944.93,77.16,0.1389,248443.48,15.0,0.027,285762.64,0.18,987457.79,Defector
10,2025-06-03,LLY,sideways,0.61,41.0,0.2501,230405.27,30.77,0.1877,190247.4,76.8,0.4685,280255.79,62.11,0.3789,299091.54,0.61,993481.28,Defector
11,2025-05-29,LLY,sideways,0.46,7.71,0.0355,206708.74,44.98,0.2069,200205.82,10.0,0.046,254100.14,64.44,0.2964,338985.29,0.46,998051.3,Tit-for-Tat
12,2025-05-23,LLY,sideways,0.52,39.41,0.2049,198484.97,21.3,0.1108,169907.26,65.48,0.3405,284804.21,49.61,0.258,346803.57,0.52,1003241.16,Tit-for-Tat
13,2025-05-20,LLY,sideways,-1.19,47.41,-0.5641,204567.23,39.19,-0.4664,188764.7,66.61,-0.7927,240011.99,44.69,-0.5318,366656.08,-1.19,991302.59,Cooperator
14,2025-05-15,LLY,sideways,1.05,47.86,0.5025,235707.61,41.83,0.4392,198443.39,31.5,0.3308,210777.96,36.89,0.3873,355071.04,1.05,1001711.27,Tit-for-Tat
15,2025-05-12,LLY,sideways,3.81,41.0,1.5622,266940.25,35.22,1.342,201762.34,27.0,1.0287,179567.09,33.92,1.2923,351730.32,3.81,1039876.47,Tit-for-Tat
16,2025-05-07,LLY,bull,-0.48,36.17,-0.1736,270411.01,28.88,-0.1386,213849.0,66.64,-0.3199,146683.78,30.54,-0.1466,369056.21,-0.48,1034885.06,Cooperator
17,2025-05-02,LLY,bull,-0.18,5.0,-0.009,297221.88,37.53,-0.0675,205867.18,69.07,-0.1243,121795.44,24.72,-0.0445,375115.49,-0.18,1033022.27,Signal Follower
18,2025-04-29,LLY,bull,0.85,7.71,0.0656,279860.16,26.05,0.2214,208990.1,73.79,0.6272,146978.15,15.0,0.1275,364171.6,0.85,1041802.96,Defector
19,2025-04-24,LLY,bull,2.84,7.71,0.2191,246591.51,25.52,0.7247,198176.48,76.87,2.1832,167834.06,56.15,1.5948,387397.94,2.84,1071390.16,Tit-for-Tat
20,2025-04-21,LLY,bull,-2.79,5.0,-0.1395,281228.96,39.42,-1.0999,196783.01,70.1,-1.9558,144592.35,43.81,-1.2223,377395.68,-2.79,1041498.38,Signal Follower
21,2025-04-15,LLY,bull,0.21,7.71,0.0162,261693.74,30.75,0.0646,202392.09,70.29,0.1476,173037.8,15.0,0.0315,362876.38,0.21,1043685.52,Defector
22,2025-04-10,LLY,sideways,-2.43,5.0,-0.1215,295182.5,27.17,-0.6603,211629.01,76.09,-1.849,149503.94,53.71,-1.3051,343684.55,-2.43,1018323.97,Signal Follower
23,2025-04-07,LLY,bull,3.7,41.0,1.5171,302569.98,39.55,1.4634,215327.71,70.69,2.6154,176359.76,15.0,0.555,305742.55,3.7,1056001.95,Signal Follower
24,2025-04-02,LLY,bull,2.92,35.27,1.0298,287826.64,36.31,1.0603,206441.36,69.07,2.017,210438.79,37.3,1.0892,295293.21,2.92,1086837.21,Defector
25,2025-03-28,LLY,bull,0.31,10.17,0.0315,246819.28,36.05,0.1118,202508.21,66.85,0.2072,237343.61,52.85,0.1638,313328.9,0.31,1090206.4,Tit-for-Tat
26,2025-03-25,LLY,bull,-1.98,36.17,-0.7162,263955.93,35.4,-0.701,217715.57,68.49,-1.3561,197001.98,42.1,-0.8335,321326.52,-1.98,1068620.32,Cooperator
27,2025-03-20,LLY,bull,0.42,7.71,0.0324,232181.43,37.24,0.1564,222646.15,66.05,0.2774,228956.56,29.28,0.123,316215.85,0.42,1073108.52,Defector
