Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-09,PG,sideways,-0.37,53.47,-0.1978,230588.4,15.0,-0.0555,292886.39,50.0,-0.185,236211.51,47.47,-0.1756,240313.69,-0.37,996300.0,Cooperator
2,2025-06-25,PG,sideways,-0.53,50.43,-0.2673,209404.28,15.0,-0.0795,325903.04,55.0,-0.2915,208275.42,22.92,-0.1215,256417.26,-0.53,991019.61,Cooperator
3,2025-06-06,PG,sideways,0.45,49.01,0.2206,230374.21,15.0,0.0675,292729.59,55.0,0.2475,236532.73,21.6,0.0972,240363.47,0.45,995479.2,Defector
4,2025-05-29,PG,sideways,1.09,52.55,0.5728,220220.82,50.0,0.545,259309.26,55.0,0.5995,242034.15,59.92,0.6531,278435.77,1.09,1006329.92,Cooperator
5,2025-05-20,PG,sideways,0.63,50.08,0.3155,216446.4,50.0,0.315,254639.84,40.0,0.252,209808.58,64.25,0.4048,319105.19,0.63,1012669.8,Tit-for-Tat
6,2025-05-15,PG,bull,1.77,67.12,1.188,230489.12,70.0,1.239,283845.78,55.0,0.9735,179480.92,61.02,1.0801,306184.18,1.77,1030594.06,Tit-for-Tat
7,2025-05-12,PG,bull,2.2,50.08,1.1017,217421.84,70.0,1.54,318327.13,40.0,0.88,153134.69,58.22,1.2808,311116.34,2.2,1053267.12,Cooperator
8,2025-05-07,PG,bull,0.17,50.43,0.0857,208458.3,90.0,0.153,350577.42,15.0,0.0255,127278.75,64.17,0.1091,313685.54,0.17,1055057.68,Cooperator
9,2025-05-02,PG,bull,-0.25,52.55,-0.1314,236944.17,70.0,-0.175,343962.6,55.0,-0.1375,141892.53,80.93,-0.2023,277200.69,-0.25,1052420.03,Defector
10,2025-04-29,PG,bull,0.6,52.55,0.3153,205577.27,70.0,0.42,382676.92,55.0,0.33,127987.79,63.67,0.382,283758.02,0.6,1058734.55,Cooperator
11,2025-04-24,PG,bull,-0.6,50.43,-0.3026,221118.14,50.0,-0.3,414478.81,55.0,-0.33,127423.32,64.17,-0.385,236979.72,-0.6,1052382.15,Defector
12,2025-04-21,PG,bull,-2.44,52.55,-1.2822,229109.75,50.0,-1.22,449677.39,55.0,-1.342,126057.81,63.67,-1.5535,195155.05,-2.44,1026704.02,Defector
