Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,XOM,sideways,-1.14,53.96,-0.6152,228043.81,15.0,-0.171,291935.53,50.0,-0.57,234544.52,43.33,-0.494,245476.14,-1.14,988600.0,Cooperator
2,2025-07-09,XOM,sideways,-0.11,52.5,-0.0578,213470.18,15.0,-0.0165,321481.87,70.0,-0.077,201482.87,21.25,-0.0234,263565.08,-0.11,987512.54,Cooperator
3,2025-07-03,XOM,sideways,1.21,50.43,0.6102,236008.94,15.0,0.1815,289121.76,55.0,0.6655,228117.33,21.33,0.2581,246751.97,1.21,999461.44,Defector
4,2025-06-30,XOM,sideways,-0.77,53.96,-0.4155,226267.17,50.0,-0.385,293251.42,40.0,-0.308,263345.5,59.58,-0.4588,217135.91,-0.77,991765.59,Defector
5,2025-06-25,XOM,sideways,0.24,62.45,0.1499,240643.09,50.0,0.12,258749.95,55.0,0.132,251520.08,68.2,0.1637,249086.88,0.24,994145.83,Tit-for-Tat
6,2025-06-20,XOM,sideways,1.1,52.5,0.5775,228221.74,50.0,0.55,229765.84,55.0,0.605,253728.76,61.15,0.6726,288283.66,1.1,1005081.43,Tit-for-Tat
7,2025-06-16,XOM,sideways,0.59,52.5,0.3098,237286.53,50.0,0.295,229661.76,40.0,0.236,212842.46,56.92,0.3358,320209.25,0.59,1011011.41,Tit-for-Tat
8,2025-06-11,XOM,sideways,1.44,46.89,0.6753,208948.39,70.0,1.008,266183.16,55.0,0.792,208216.02,55.88,0.8047,316652.43,1.44,1025569.97,Tit-for-Tat
9,2025-06-06,XOM,bull,1.47,46.89,0.6893,195321.12,70.0,1.029,303211.73,40.0,0.588,181944.27,55.29,0.8128,319522.88,1.47,1040645.85,Cooperator
10,2025-06-03,XOM,bull,0.87,64.78,0.5636,198879.87,70.0,0.609,321755.02,40.0,0.348,148184.28,67.0,0.5829,331180.83,0.87,1049699.47,Tit-for-Tat
11,2025-05-29,XOM,bull,0.4,64.78,0.2591,198088.33,70.0,0.28,350690.86,55.0,0.22,121530.18,64.75,0.259,329690.64,0.4,1053898.27,Cooperator
12,2025-05-23,XOM,bull,0.42,64.78,0.2721,193407.74,70.0,0.294,373872.91,55.0,0.231,98233.58,67.0,0.2814,334485.78,0.42,1058324.64,Cooperator
13,2025-05-20,XOM,bull,-1.35,64.78,-0.8745,200254.68,70.0,-0.945,351396.09,55.0,-0.7425,119285.71,67.6,-0.9126,329063.51,-1.35,1044037.26,Defector
14,2025-05-15,XOM,bull,1.96,52.5,1.029,188745.04,50.0,0.98,319978.43,70.0,1.372,139093.89,62.5,1.225,352182.64,1.96,1064500.39,Tit-for-Tat
15,2025-05-12,XOM,bull,-1.01,52.5,-0.5302,185620.34,50.0,-0.505,327953.28,40.0,-0.404,165638.02,56.88,-0.5744,320788.36,-1.01,1053748.94,Defector
16,2025-05-07,XOM,bull,-0.36,50.43,-0.1815,201537.61,50.0,-0.18,357682.5,70.0,-0.252,142816.67,64.17,-0.231,297963.22,-0.36,1049955.44,Signal Follower
17,2025-05-02,XOM,sideways,-1.4,50.43,-0.706,197413.92,50.0,-0.7,355413.96,55.0,-0.77,118405.99,46.67,-0.6533,328766.14,-1.4,1035256.06,Defector
18,2025-04-29,XOM,sideways,0.58,53.96,0.313,200122.7,35.0,0.203,307783.06,70.0,0.406,134821.92,63.33,0.3673,357272.31,0.58,1041260.55,Tit-for-Tat
19,2025-04-24,XOM,sideways,0.61,50.43,0.3076,181025.1,50.0,0.305,274917.77,55.0,0.3355,138265.17,59.17,0.3609,405791.96,0.61,1047612.24,Tit-for-Tat
20,2025-04-21,XOM,sideways,-0.25,64.78,-0.1619,155063.32,50.0,-0.125,310318.05,55.0,-0.1375,143337.01,58.93,-0.1473,391281.63,-0.25,1044993.21,Defector
21,2025-04-15,XOM,sideways,-0.52,62.45,-0.3248,148470.74,50.0,-0.26,354567.0,55.0,-0.286,153122.77,67.75,-0.3523,343839.49,-0.52,1039559.24,Defector
22,2025-04-10,XOM,bear,-3.64,62.17,-2.263,141377.22,50.0,-1.82,399773.07,55.0,-2.002,161620.0,68.27,-2.4849,297229.71,-3.64,1001719.29,Defector
23,2025-04-07,XOM,sideways,2.54,62.45,1.5863,146792.36,25.0,0.635,349005.06,90.0,2.286,187459.3,68.65,1.7437,316743.28,2.54,1027162.96,Tit-for-Tat
24,2025-04-02,XOM,bear,0.24,52.5,0.126,152104.36,45.0,0.108,342405.48,25.0,0.06,156372.05,61.49,0.1476,349118.11,0.24,1029628.15,Tit-for-Tat
25,2025-03-28,XOM,sideways,-0.31,52.5,-0.1628,158726.87,50.0,-0.155,389106.45,55.0,-0.1705,148660.98,57.19,-0.1773,303505.71,-0.31,1026436.3,Signal Follower
26,2025-03-25,XOM,sideways,0.14,50.43,0.0706,146208.07,70.0,0.098,442385.46,55.0,0.077,144428.89,46.67,0.0653,266977.59,0.14,1027873.31,Cooperator
27,2025-03-20,XOM,sideways,1.03,52.5,0.5407,140115.85,50.0,0.515,400011.19,55.0,0.5665,146226.96,62.5,0.6437,313645.99,1.03,1038460.41,Cooperator
28,2025-03-17,XOM,sideways,1.75,52.5,0.9188,138861.85,50.0,0.875,384942.99,40.0,0.7,123920.32,64.0,1.12,352274.84,1.75,1056633.46,Tit-for-Tat
29,2025-03-12,XOM,sideways,0.07,64.78,0.0453,141047.41,70.0,0.049,407976.04,40.0,0.028,99937.35,62.5,0.0438,351039.19,0.07,1057373.11,Cooperator
30,2025-03-07,XOM,sideways,0.56,53.96,0.3022,120665.85,70.0,0.392,444181.25,55.0,0.308,87001.55,63.33,0.3547,348151.35,0.56,1063294.4,Cooperator
31,2025-03-04,XOM,bull,1.11,64.78,0.719,115730.51,70.0,0.777,464721.65,55.0,0.6105,69242.99,67.6,0.7504,350304.85,1.11,1075096.96,Cooperator
32,2025-02-27,XOM,bull,0.13,50.43,0.0656,103194.05,70.0,0.091,484740.15,40.0,0.052,56155.9,66.5,0.0864,355909.89,0.13,1076494.59,Cooperator
33,2025-02-24,XOM,bull,0.31,52.55,0.1629,85483.99,70.0,0.217,505947.17,55.0,0.1705,48216.37,67.47,0.2091,360352.48,0.31,1079831.72,Cooperator
34,2025-02-13,XOM,bull,0.91,66.49,0.6051,82824.36,70.0,0.637,518607.38,55.0,0.5005,37848.81,68.5,0.6234,360719.45,0.91,1089658.19,Cooperator
35,2025-02-10,XOM,bull,0.87,55.03,0.4787,80482.54,50.0,0.435,462932.83,55.0,0.4785,36763.68,67.23,0.5849,419820.94,0.87,1099138.22,Cooperator
