Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,V,sideways,0.9,52.55,0.473,269959.49,15.0,0.135,207481.79,50.0,0.45,265716.27,44.67,0.402,256842.45,0.9,1009000.0,Signal Follower
2,2025-07-09,V,sideways,0.76,67.12,0.5101,292388.06,19.83,0.1507,170948.2,55.0,0.418,270144.56,58.83,0.4471,266519.18,0.76,1016668.4,Signal Follower
3,2025-07-03,V,sideways,1.2,53.96,0.6476,308777.53,15.0,0.18,140011.03,55.0,0.66,286988.93,43.33,0.52,264222.51,1.2,1028868.42,Signal Follower
4,2025-06-30,V,bull,1.63,50.43,0.822,312307.6,70.0,1.141,166735.38,40.0,0.652,262828.17,46.67,0.7607,258128.86,1.63,1045638.98,Signal Follower
5,2025-06-25,V,bull,-1.48,50.43,-0.7463,311071.68,70.0,-1.036,137313.02,40.0,-0.592,285948.02,46.67,-0.6907,265667.28,-1.48,1030163.52,Defector
6,2025-06-20,V,sideways,-0.11,64.78,-0.0713,311294.11,50.0,-0.055,164429.05,70.0,-0.077,266275.66,67.0,-0.0737,258001.18,-0.11,1029030.34,Cooperator
7,2025-06-16,V,sideways,-0.28,53.96,-0.1511,290216.96,50.0,-0.14,165022.04,55.0,-0.154,243286.54,40.83,-0.1143,301474.46,-0.28,1026149.05,Cooperator
8,2025-06-11,V,bull,0.89,54.32,0.4835,313618.71,35.0,0.3115,141555.9,55.0,0.4895,264804.2,41.16,0.3663,280021.19,0.89,1035281.78,Signal Follower
9,2025-06-06,V,bull,0.33,52.55,0.1734,329302.48,50.0,0.165,139231.51,55.0,0.1815,294944.3,44.67,0.1474,236521.71,0.33,1038698.21,Signal Follower
10,2025-06-03,V,bull,0.35,46.89,0.1641,288935.59,50.0,0.175,137064.89,55.0,0.1925,341158.39,50.0,0.175,232841.13,0.35,1042333.65,Defector
11,2025-05-29,V,bull,0.57,62.45,0.356,295330.17,70.0,0.399,160036.8,55.0,0.3135,299696.66,64.0,0.3648,244936.38,0.57,1048274.96,Defector
12,2025-05-23,V,bull,-0.06,50.43,-0.0303,321142.61,50.0,-0.03,175534.77,55.0,-0.033,295747.31,61.33,-0.0368,207575.31,-0.06,1047645.99,Cooperator
13,2025-05-20,V,sideways,-0.26,52.55,-0.1366,308120.31,50.0,-0.13,177118.47,55.0,-0.143,269671.76,41.17,-0.107,245089.45,-0.26,1044922.11,Tit-for-Tat
14,2025-05-15,V,sideways,1.52,52.55,0.7988,323011.83,50.0,0.76,176454.24,55.0,0.836,296196.17,42.04,0.639,204337.77,1.52,1060804.93,Signal Follower
15,2025-05-12,V,sideways,-0.92,52.55,-0.4835,284555.31,50.0,-0.46,164718.22,40.0,-0.368,337524.81,44.67,-0.4109,213201.65,-0.92,1051045.52,Cooperator
16,2025-05-07,V,sideways,0.33,52.55,0.1734,295385.25,50.0,0.165,163073.46,55.0,0.1815,365947.86,41.17,0.1358,175593.42,0.33,1054513.97,Defector
17,2025-05-02,V,sideways,0.11,52.5,0.0578,280741.24,50.0,0.055,142393.43,55.0,0.0605,376070.81,58.75,0.0646,200794.52,0.11,1055673.94,Defector
