Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,UNH,sideways,-0.35,52.5,-0.1838,227873.89,15.0,-0.0525,291091.35,50.0,-0.175,232088.39,40.0,-0.14,248946.38,-0.35,249125.0,Cooperator
2,2025-07-09,UNH,sideways,-0.09,64.78,-0.0583,197488.86,31.5,-0.0284,311876.91,55.0,-0.0495,215104.81,25.75,-0.0232,275529.43,-0.09,248900.79,Tit-for-Tat
3,2025-07-03,UNH,sideways,-0.42,50.08,-0.2103,179043.4,15.0,-0.063,350328.47,55.0,-0.231,188469.75,31.06,-0.1305,282158.38,-0.42,247855.4,Cooperator
4,2025-06-30,UNH,sideways,0.96,52.55,0.5045,191333.38,50.0,0.48,367511.57,55.0,0.528,204954.11,22.42,0.2152,236200.93,0.96,250234.82,Cooperator
5,2025-06-25,UNH,sideways,-0.78,64.78,-0.5053,173524.8,50.0,-0.39,407985.72,55.0,-0.429,213435.39,67.6,-0.5273,205054.09,-0.78,248282.98,Defector
6,2025-06-20,UNH,bear,-2.42,64.78,-1.5676,154999.56,50.0,-1.21,448450.67,55.0,-1.331,219733.51,67.0,-1.6214,176816.26,-2.42,242274.54,Signal Follower
7,2025-06-16,UNH,bear,-1.71,50.43,-0.8623,152824.98,25.0,-0.4275,489580.41,90.0,-1.539,180492.69,46.67,-0.798,177101.92,-1.71,238131.64,Signal Follower
8,2025-06-11,UNH,sideways,2.6,52.5,1.365,165952.56,20.0,0.52,440312.73,70.0,1.82,214125.66,40.0,1.04,179609.05,2.6,244323.06,Defector
9,2025-06-06,UNH,sideways,2.02,50.43,1.0187,173766.83,45.0,0.909,442415.01,25.0,0.505,181770.32,60.42,1.2204,202047.84,2.02,249258.39,Cooperator
10,2025-06-03,UNH,sideways,-0.62,52.5,-0.3255,179324.23,80.0,-0.496,403772.04,15.0,-0.093,217161.22,62.5,-0.3875,199742.5,-0.62,247712.99,Defector
11,2025-05-29,UNH,sideways,0.46,52.5,0.2415,154914.3,70.0,0.322,448935.21,55.0,0.253,195293.79,62.5,0.2875,200856.7,0.46,248852.47,Cooperator
12,2025-05-23,UNH,sideways,-0.18,50.43,-0.0908,181128.17,70.0,-0.126,405370.59,55.0,-0.099,216195.7,64.17,-0.1155,197305.53,-0.18,248404.53,Signal Follower
13,2025-05-20,UNH,sideways,0.21,46.89,0.0985,158561.27,50.0,0.105,398149.34,55.0,0.1155,249498.65,50.0,0.105,193790.74,0.21,248926.18,Cooperator
14,2025-05-15,UNH,sideways,-0.2,52.55,-0.1051,163855.03,50.0,-0.1,430812.38,55.0,-0.11,246168.49,63.67,-0.1273,159164.09,-0.2,248428.33,Signal Follower
15,2025-05-12,UNH,sideways,-0.59,50.08,-0.2954,167831.58,50.0,-0.295,442409.28,55.0,-0.3245,209524.05,47.0,-0.2773,180235.09,-0.59,246962.6,Tit-for-Tat
