Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,SPY,sideways,0.26,5.0,0.013,213152.22,11.0,0.0286,255263.97,10.0,0.026,248245.34,15.0,0.039,283338.46,0.26,1002600.0,Tit-for-Tat
2,2025-07-09,SPY,sideways,0.21,5.0,0.0105,179936.12,11.0,0.0231,258058.19,10.0,0.021,244062.38,15.0,0.0315,317943.31,0.21,1004705.46,Tit-for-Tat
3,2025-06-30,SPY,sideways,0.08,31.59,0.0253,179303.63,10.15,0.0081,236948.13,79.83,0.0639,286184.38,15.0,0.012,297563.85,0.08,1005509.22,Defector
4,2025-06-25,SPY,sideways,-0.13,41.0,-0.0533,197625.89,37.6,-0.0489,266335.9,75.54,-0.0982,251968.87,63.98,-0.0832,284069.34,-0.13,1004202.06,Signal Follower
5,2025-06-20,SPY,sideways,-0.69,7.71,-0.0532,220149.16,45.12,-0.3113,232823.36,10.0,-0.069,276993.44,33.2,-0.2291,270034.04,-0.69,997273.07,Signal Follower
6,2025-06-16,SPY,sideways,0.38,5.0,0.019,200146.61,16.37,0.0622,221887.66,70.66,0.2685,322041.64,15.0,0.057,255924.09,0.38,1001062.71,Defector
7,2025-06-11,SPY,sideways,-0.47,5.0,-0.0235,230200.44,26.57,-0.1249,237732.31,78.94,-0.371,283463.38,53.96,-0.2536,248603.88,-0.47,996357.71,Signal Follower
8,2025-06-06,SPY,sideways,0.08,5.0,0.004,203893.44,38.69,0.031,241986.62,70.74,0.0566,324174.16,15.0,0.012,229945.78,0.08,997154.8,Defector
9,2025-06-03,SPY,sideways,0.63,7.71,0.0486,175816.67,24.17,0.1523,223685.23,75.22,0.4739,362059.88,54.02,0.3403,238438.21,0.63,1003436.87,Defector
10,2025-05-29,SPY,sideways,-0.51,39.41,-0.201,193449.16,32.81,-0.1673,255659.22,70.68,-0.3605,325173.17,63.17,-0.3222,225718.44,-0.51,998319.34,Signal Follower
11,2025-05-15,SPY,sideways,0.84,7.71,0.0648,173615.32,43.43,0.3648,290334.09,10.0,0.084,296790.78,32.09,0.2695,239259.81,0.84,1006705.23,Cooperator
12,2025-05-12,SPY,sideways,0.26,5.0,0.013,153135.37,16.08,0.0418,268738.04,71.13,0.1849,338958.86,34.9,0.0907,239167.73,0.26,1009322.66,Defector
13,2025-05-07,SPY,sideways,0.18,5.0,0.009,128670.97,31.8,0.0572,252595.48,75.67,0.1362,373919.7,54.29,0.0977,244813.85,0.18,1011139.44,Defector
14,2025-05-02,SPY,sideways,0.36,5.0,0.018,105736.43,37.94,0.1366,239202.08,69.82,0.2513,399407.47,63.54,0.2287,255654.01,0.36,1014779.54,Defector
15,2025-04-29,SPY,sideways,0.99,5.0,0.0495,86119.46,38.81,0.3842,226004.28,67.25,0.6658,421168.6,64.34,0.6369,266707.66,0.99,1024825.86,Defector
16,2025-04-24,SPY,bull,1.86,5.0,0.093,69674.99,38.36,0.7135,212317.83,66.98,1.2457,442774.43,62.03,1.1537,275232.75,1.86,1043887.62,Defector
17,2025-04-21,SPY,bull,-1.4,35.46,-0.4965,80995.77,37.87,-0.5301,243059.9,67.44,-0.9441,410650.16,62.48,-0.8747,265294.16,-1.4,1029273.2,Signal Follower
18,2025-04-15,SPY,sideways,-0.38,5.0,-0.019,90252.59,45.75,-0.1738,209356.16,10.0,-0.038,444835.86,29.32,-0.1114,255555.39,-0.38,1025361.96,Signal Follower
