Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,MSFT,sideways,0.3,41.0,0.123,293301.27,27.0,0.081,235566.24,27.0,0.081,235566.24,27.0,0.081,235566.24,0.3,1003000.0,Signal Follower
2,2025-07-09,MSFT,sideways,0.64,5.0,0.032,252217.55,11.0,0.0704,242590.65,10.0,0.064,235920.49,15.0,0.096,269271.31,0.64,1009419.2,Tit-for-Tat
3,2025-07-03,MSFT,sideways,1.02,5.0,0.051,234016.81,11.0,0.1122,229902.13,79.83,0.8143,277328.87,15.0,0.153,258752.19,1.02,1019715.28,Defector
4,2025-06-30,MSFT,sideways,0.07,47.86,0.0335,222741.75,29.47,0.0206,196586.64,79.83,0.0559,310605.87,65.33,0.0457,270065.74,0.07,1020429.08,Defector
5,2025-06-25,MSFT,sideways,0.05,5.0,0.0025,199574.86,52.84,0.0264,211498.26,10.0,0.005,284138.79,66.87,0.0334,304788.09,0.05,1020939.29,Tit-for-Tat
6,2025-06-20,MSFT,sideways,-1.0,5.0,-0.05,221571.54,24.31,-0.2431,211862.46,10.0,-0.1,307474.56,51.31,-0.5131,259091.45,-1.0,1010729.9,Signal Follower
7,2025-06-16,MSFT,sideways,0.83,10.17,0.0844,202320.25,18.47,0.1533,200435.67,71.56,0.594,355697.46,15.0,0.1245,241546.62,0.83,1019118.96,Defector
8,2025-06-11,MSFT,sideways,0.55,47.86,0.2632,191604.16,28.82,0.1585,168825.48,77.73,0.4275,395293.13,59.54,0.3275,244277.23,0.55,1024724.11,Defector
9,2025-06-06,MSFT,sideways,0.06,10.17,0.0061,175705.6,46.2,0.0277,180761.44,10.0,0.006,362203.94,65.18,0.0391,281329.02,0.06,1025338.95,Tit-for-Tat
10,2025-06-03,MSFT,sideways,0.33,36.21,0.1195,181649.31,25.47,0.084,171023.97,18.5,0.0611,322091.93,51.18,0.1689,325234.8,0.33,1028722.56,Tit-for-Tat
11,2025-05-29,MSFT,sideways,-0.62,47.86,-0.2967,185753.72,30.74,-0.1906,198728.52,66.19,-0.4104,281294.42,47.24,-0.2929,334223.33,-0.62,1022344.48,Cooperator
12,2025-05-23,MSFT,sideways,0.04,5.0,0.002,166202.41,44.7,0.0179,228690.85,10.0,0.004,260757.66,26.02,0.0104,344349.08,0.04,1022753.42,Cooperator
13,2025-05-20,MSFT,sideways,0.57,5.0,0.0285,146639.48,13.83,0.0788,209385.81,72.38,0.4126,296320.58,38.76,0.2209,347654.14,0.57,1028583.12,Defector
14,2025-05-15,MSFT,sideways,0.52,10.17,0.0529,124011.66,30.1,0.1565,193524.14,75.4,0.3921,326792.22,55.17,0.2869,355671.98,0.52,1033931.75,Defector
15,2025-05-12,MSFT,sideways,0.74,5.0,0.037,101070.98,39.42,0.2917,183212.15,69.09,0.5113,346476.09,63.32,0.4686,369240.78,0.74,1041582.84,Defector
16,2025-05-07,MSFT,sideways,-0.11,5.0,-0.0055,122043.28,38.57,-0.0424,195350.09,67.04,-0.0737,327921.91,63.68,-0.0701,354684.72,-0.11,1040437.1,Signal Follower
17,2025-05-02,MSFT,sideways,0.82,5.0,0.041,106792.87,38.14,0.3127,197554.53,67.12,0.5504,370705.79,15.0,0.123,324946.8,0.82,1048968.69,Defector
18,2025-04-29,MSFT,bull,0.7,5.0,0.035,89272.53,25.66,0.1796,179942.42,75.31,0.5272,404383.56,51.49,0.3604,326401.49,0.7,1056311.47,Defector
19,2025-04-24,MSFT,bull,3.09,10.17,0.3143,73063.69,33.75,1.043,163914.44,71.31,2.2034,427931.98,63.25,1.9544,335089.89,3.09,1088951.49,Defector
20,2025-04-21,MSFT,bull,-1.02,47.86,-0.4882,81332.64,38.9,-0.3968,194963.06,67.14,-0.6848,406184.63,67.33,-0.6867,317519.68,-1.02,1077844.19,Signal Follower
21,2025-04-15,MSFT,bull,-0.72,10.17,-0.0732,89257.23,45.54,-0.3279,171061.56,10.0,-0.072,446194.44,38.0,-0.2736,293486.78,-0.72,1070083.71,Signal Follower
22,2025-04-10,MSFT,bull,-0.19,10.17,-0.0193,100484.28,16.57,-0.0315,187816.64,69.38,-0.1318,387457.63,15.0,-0.0285,324241.44,-0.19,1068050.55,Signal Follower
23,2025-04-07,MSFT,bull,1.99,41.0,0.8159,98833.82,30.16,0.6002,176123.81,78.04,1.553,441773.15,15.0,0.2985,283269.22,1.99,1089304.75,Defector
24,2025-04-02,MSFT,bull,1.1,36.17,0.3979,85022.8,36.38,0.4001,151745.31,70.64,0.777,477036.16,59.73,0.657,286195.73,1.1,1101287.11,Defector
25,2025-03-28,MSFT,bull,-2.39,36.17,-0.8644,84397.15,43.96,-1.0506,143178.64,17.0,-0.4063,531160.7,59.91,-1.4319,241263.51,-2.39,1074966.35,Signal Follower
26,2025-03-25,MSFT,bull,0.31,10.17,0.0315,77845.32,29.39,0.0911,160923.68,10.0,0.031,488970.19,29.82,0.0924,272260.81,0.31,1078298.74,Tit-for-Tat
27,2025-03-20,MSFT,bull,0.29,47.86,0.1388,76720.07,19.0,0.0551,136857.2,73.44,0.213,540450.67,30.32,0.0879,245972.07,0.29,1081425.81,Defector
28,2025-03-17,MSFT,sideways,0.52,47.86,0.2489,67913.86,40.35,0.2098,112394.35,68.8,0.3578,574746.38,60.86,0.3165,244945.41,0.52,1087049.22,Defector
29,2025-03-12,MSFT,sideways,0.08,47.86,0.0383,72186.48,45.78,0.0366,117147.32,31.5,0.0252,517513.71,61.34,0.0491,293152.49,0.08,1087918.86,Defector
30,2025-03-07,MSFT,sideways,0.25,39.41,0.0985,86032.11,33.6,0.084,131514.4,15.0,0.0375,466424.65,29.85,0.0746,316028.84,0.25,1090638.66,Tit-for-Tat
31,2025-03-04,MSFT,bull,1.36,41.0,0.5576,82449.15,27.76,0.3775,115661.37,67.86,0.9229,521630.45,29.0,0.3943,280259.03,1.36,1105471.34,Defector
32,2025-02-27,MSFT,sideways,-2.18,41.66,-0.9082,95060.4,38.17,-0.832,136987.03,68.71,-1.4978,474640.03,53.5,-1.1663,293312.55,-2.18,1081372.07,Signal Follower
33,2025-02-24,MSFT,sideways,-1.1,47.86,-0.5265,78381.18,42.92,-0.4721,123602.07,31.5,-0.3465,513506.75,38.61,-0.4248,284510.0,-1.1,1069476.98,Signal Follower
34,2025-02-19,MSFT,sideways,1.69,47.86,0.8088,91246.7,33.28,0.5624,117322.18,31.5,0.5323,473945.27,44.59,0.7535,317485.86,1.69,1087551.14,Defector
