Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,GS,sideways,1.21,5.0,0.0605,213152.22,11.0,0.1331,255263.97,10.0,0.121,248245.34,15.0,0.1815,283338.46,1.21,1012100.0,Tit-for-Tat
2,2025-07-09,GS,sideways,-1.1,5.0,-0.055,247039.36,11.0,-0.121,252413.3,10.0,-0.11,252512.81,15.0,-0.165,248034.53,-1.1,1000966.9,Signal Follower
3,2025-07-03,GS,sideways,1.09,5.0,0.0545,228389.68,11.0,0.1199,238352.52,79.83,0.8702,295768.16,15.0,0.1635,237489.64,1.09,1011877.44,Defector
4,2025-06-30,GS,sideways,-0.91,5.0,-0.0455,261263.27,28.92,-0.2632,252635.74,79.83,-0.7265,260616.16,60.38,-0.5495,225484.82,-0.91,1002669.35,Signal Follower
5,2025-06-25,GS,sideways,0.79,5.0,0.0395,231955.6,40.57,0.3205,260306.83,69.28,0.5473,298511.56,15.0,0.1185,209226.02,0.79,1010590.44,Defector
6,2025-06-20,GS,sideways,0.31,7.71,0.0239,201975.9,23.83,0.0739,242741.4,74.9,0.2322,336791.25,53.0,0.1643,218491.44,0.31,1013723.27,Defector
7,2025-06-16,GS,sideways,1.43,5.0,0.0715,168714.8,38.11,0.5449,233624.36,70.91,1.014,366557.74,62.92,0.8998,231103.1,1.43,1028219.52,Defector
8,2025-06-11,GS,bull,1.13,35.27,0.3985,146656.74,39.14,0.4423,209066.22,67.33,0.7608,396328.84,66.07,0.7466,247948.2,1.13,1039838.4,Defector
9,2025-06-06,GS,bull,0.16,5.0,0.008,131488.35,46.59,0.0745,223657.21,10.0,0.016,363590.66,62.1,0.0994,281263.77,0.16,1041502.14,Tit-for-Tat
10,2025-06-03,GS,bull,0.64,7.71,0.0494,111632.34,20.99,0.1343,202511.7,66.05,0.4227,398908.52,47.97,0.307,286947.43,0.64,1048167.75,Defector
11,2025-05-29,GS,sideways,-0.6,10.17,-0.061,132275.53,31.4,-0.1884,220420.05,72.22,-0.4333,360191.11,50.74,-0.3044,287113.31,-0.6,1041878.74,Signal Follower
12,2025-05-23,GS,bull,2.31,10.17,0.235,116789.78,34.06,0.7869,216584.39,69.61,1.6081,407342.18,15.0,0.3465,259283.64,2.31,1065946.14,Defector
13,2025-05-20,GS,bull,-0.2,5.0,-0.01,137992.6,27.63,-0.0553,236550.39,75.13,-0.1503,368485.45,53.23,-0.1065,256971.56,-0.2,1063814.25,Signal Follower
14,2025-05-15,GS,bull,1.01,5.0,0.0505,119675.27,37.53,0.379,234781.57,70.69,0.714,412786.64,15.0,0.1515,232756.51,1.01,1074558.78,Defector
15,2025-05-12,GS,bull,-0.83,10.17,-0.0844,139444.15,24.16,-0.2005,260139.1,75.41,-0.6259,370894.39,53.98,-0.4481,229522.36,-0.83,1065639.94,Signal Follower
16,2025-05-07,GS,bull,0.31,7.71,0.0239,121557.68,35.57,0.1103,255701.89,70.28,0.2179,415981.33,15.0,0.0465,206759.11,0.31,1068943.42,Defector
17,2025-05-02,GS,bull,0.8,7.71,0.0617,102635.75,24.7,0.1976,232010.7,75.29,0.6023,455508.51,53.7,0.4296,209845.04,0.8,1077494.97,Defector
18,2025-04-29,GS,bull,0.94,7.71,0.0725,84173.08,34.9,0.328,214607.61,70.65,0.6641,484174.91,63.23,0.5944,217044.4,0.94,1087623.42,Defector
19,2025-04-24,GS,bull,3.47,10.17,0.353,68657.26,36.04,1.2505,197707.6,67.36,2.3374,507949.84,65.08,2.2584,225685.3,3.47,1125363.95,Defector
20,2025-04-21,GS,bull,-0.8,5.79,-0.0463,83812.32,39.9,-0.3192,211734.32,66.45,-0.5316,484776.15,62.12,-0.497,219677.22,-0.8,1116361.04,Signal Follower
21,2025-04-15,GS,bull,0.09,5.0,0.0045,70748.06,37.79,0.034,206328.86,67.03,0.0603,528754.96,15.0,0.0135,194168.12,0.09,1117365.77,Defector
22,2025-04-10,GS,sideways,-2.64,7.71,-0.2037,84506.66,23.31,-0.6153,233275.73,75.37,-1.9897,485051.26,51.42,-1.3575,197166.35,-2.64,1087867.31,Signal Follower
23,2025-04-07,GS,bull,4.16,7.71,0.3209,72016.99,34.38,1.4304,222693.82,71.26,2.9644,531745.68,15.0,0.624,173543.5,4.16,1133122.59,Defector
24,2025-04-02,GS,bull,4.32,5.0,0.216,58995.67,27.42,1.1845,200114.99,75.48,3.2609,568366.48,54.38,2.3493,172522.86,4.32,1182073.49,Defector
25,2025-03-28,GS,bull,-2.31,5.0,-0.1155,72132.11,37.92,-0.8758,217466.32,70.53,-1.6293,541071.38,63.39,-1.4642,169330.19,-2.31,1154767.59,Signal Follower
26,2025-03-25,GS,bull,0.21,5.0,0.0105,60105.07,38.96,0.0818,209989.3,67.28,0.1413,582208.8,15.0,0.0315,147696.83,0.21,1157192.6,Defector
27,2025-03-20,GS,bull,1.73,10.17,0.176,49652.23,23.37,0.4042,183780.6,75.17,1.3005,621787.56,51.6,0.8926,144779.62,1.73,1177212.03,Defector
28,2025-03-17,GS,bull,1.87,41.0,0.7667,42305.22,40.05,0.749,155409.63,70.81,1.3242,654939.89,65.54,1.2256,147345.26,1.87,1199225.9,Defector
29,2025-03-12,GS,bull,-1.52,41.0,-0.6232,41161.43,49.48,-0.7521,142529.81,27.0,-0.4104,697618.15,66.43,-1.0097,118690.62,-1.52,1180997.67,Signal Follower
30,2025-03-07,GS,bull,-1.5,39.41,-0.5911,33433.65,32.28,-0.4842,125926.45,15.0,-0.225,736868.12,33.2,-0.498,103771.79,-1.5,1163282.7,Signal Follower
31,2025-03-04,GS,sideways,-2.49,43.49,-1.083,37398.75,29.14,-0.7256,154910.57,67.52,-1.6812,686636.49,37.33,-0.9294,121054.19,-2.49,1134316.96,Signal Follower
32,2025-02-27,GS,sideways,-1.54,10.17,-0.1566,47005.03,37.61,-0.5792,171338.07,66.67,-1.0268,649782.89,40.64,-0.6259,131874.01,-1.54,1116848.48,Signal Follower
33,2025-02-24,GS,sideways,-1.16,36.17,-0.4196,51798.16,32.51,-0.3772,192218.22,70.26,-0.815,595467.69,15.0,-0.174,160515.93,-1.16,1103893.04,Signal Follower
34,2025-02-19,GS,bear,-0.14,39.41,-0.0552,57324.98,29.55,-0.0414,225293.81,71.05,-0.0995,534037.09,34.05,-0.0477,183344.12,-0.14,1102347.59,Signal Follower
35,2025-02-13,GS,bear,-0.44,5.0,-0.022,70390.49,40.39,-0.1777,238293.52,67.83,-0.2985,494373.03,36.97,-0.1627,196942.97,-0.44,1097497.26,Signal Follower
36,2025-02-10,GS,bear,-1.29,5.0,-0.0645,82564.24,31.48,-0.4061,252915.19,71.27,-0.9194,441815.71,15.0,-0.1935,222704.87,-1.29,1083339.54,Signal Follower
37,2025-02-05,GS,bear,1.17,5.0,0.0585,71302.26,26.73,0.3127,237500.59,76.42,0.8941,491135.52,15.0,0.1755,200061.63,1.17,1096014.62,Defector
38,2025-01-31,GS,bear,-1.48,7.71,-0.1142,84721.97,25.5,-0.3774,265781.36,77.21,-1.1427,450884.7,57.99,-0.8583,198611.97,-1.48,1079793.6,Signal Follower
39,2025-01-28,GS,bear,0.89,5.0,0.0445,71701.9,39.98,0.3558,260216.45,69.8,0.6212,492456.05,15.0,0.1335,175625.6,0.89,1089403.76,Defector
40,2025-01-23,GS,bear,0.72,10.17,0.0732,60045.39,23.95,0.1725,231440.8,75.0,0.54,532828.49,53.36,0.3842,175685.31,0.72,1097247.47,Defector
41,2025-01-17,GS,sideways,1.32,7.71,0.1018,48638.76,35.32,0.4663,211991.17,70.42,0.9295,559793.21,63.0,0.8316,179576.86,1.32,1111731.14,Defector
42,2025-01-14,GS,sideways,0.33,10.17,0.0336,39319.51,35.93,0.1186,193503.76,67.33,0.2222,582195.66,64.88,0.2141,184981.07,0.33,1115399.85,Defector
43,2025-01-08,GS,sideways,-0.18,7.71,-0.0139,48197.76,36.22,-0.0652,212186.66,66.5,-0.1197,558473.64,62.09,-0.1118,181141.93,-0.18,1113392.13,Signal Follower
44,2025-01-03,GS,sideways,-0.15,7.71,-0.0116,57287.2,34.81,-0.0522,225342.49,67.33,-0.101,508234.1,15.0,-0.0225,209136.2,-0.15,1111722.04,Signal Follower
45,2024-12-30,GS,sideways,1.11,41.0,0.4551,54990.72,29.11,0.3231,204845.92,75.41,0.8371,562672.61,15.0,0.1665,177490.74,1.11,1124062.16,Defector
46,2024-12-24,GS,bull,1.5,41.0,0.615,47343.81,38.76,0.5815,173147.54,70.81,1.0622,601966.58,60.89,0.9133,177542.07,1.5,1140923.09,Defector
47,2024-12-19,GS,sideways,-1.33,7.71,-0.1026,50844.62,43.3,-0.5759,158764.99,10.0,-0.133,640407.05,59.65,-0.7934,149983.33,-1.33,1125748.81,Signal Follower
48,2024-12-16,GS,bull,-0.28,7.71,-0.0216,60797.69,21.05,-0.0589,179707.06,66.56,-0.1864,585383.05,15.0,-0.042,174112.19,-0.28,1122596.71,Signal Follower
49,2024-12-11,GS,bull,0.41,31.59,0.1295,55463.26,23.98,0.0983,158657.83,77.71,0.3186,638194.62,15.0,0.0615,147684.29,0.41,1127199.36,Defector
50,2024-12-06,GS,bull,0.42,10.17,0.0427,44629.42,32.0,0.1344,140957.28,73.24,0.3076,667967.36,58.89,0.2474,146445.94,0.42,1131933.6,Defector
51,2024-12-03,GS,sideways,-1.13,5.0,-0.0565,55386.19,39.82,-0.45,153568.21,68.16,-0.7702,645369.77,61.59,-0.696,145675.83,-1.13,1119142.75,Signal Follower
52,2024-11-27,GS,sideways,-0.37,10.17,-0.0376,66554.52,34.44,-0.1274,166327.38,67.26,-0.2489,595503.72,15.0,-0.0555,171614.38,-0.37,1115001.92,Signal Follower
53,2024-11-22,GS,sideways,1.1,7.71,0.0849,56239.83,24.57,0.2703,150387.9,75.06,0.8257,643966.76,15.0,0.165,149405.51,1.1,1127266.94,Defector
54,2024-11-19,GS,sideways,0.3,5.0,0.015,45245.13,28.4,0.0852,132901.33,77.12,0.2314,675327.41,57.05,0.1711,146526.13,0.3,1130648.74,Defector
55,2024-11-14,GS,sideways,-1.9,5.0,-0.095,56027.22,39.02,-0.7414,145708.24,69.93,-1.3286,653316.33,64.7,-1.2292,144948.22,-1.9,1109166.42,Signal Follower
56,2024-11-11,GS,sideways,0.57,7.71,0.044,46204.56,35.58,0.2028,136424.96,66.88,0.3812,693604.47,15.0,0.0855,123766.01,0.57,1115488.66,Defector
