Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
1,2025-07-14,AAPL,sideways,-0.62,10.17,-0.0631,263090.7,10.0,-0.062,265093.7,10.0,-0.062,265093.7,15.0,-0.093,206721.9,-0.62,993800.0,Cooperator
2,2025-07-09,AAPL,sideways,0.77,10.17,0.0783,251832.86,10.0,0.077,251604.77,10.0,0.077,251604.77,15.0,0.1155,244957.6,0.77,1001452.26,Tit-for-Tat
3,2025-07-03,AAPL,sideways,0.66,10.17,0.0671,235556.77,11.21,0.074,236238.98,79.14,0.5223,295011.33,15.0,0.099,233192.92,0.66,1008061.84,Defector
4,2025-06-30,AAPL,sideways,1.56,5.0,0.078,201974.06,30.07,0.4691,223390.67,78.94,1.2314,329665.45,59.9,0.9344,244969.81,1.56,1023787.61,Defector
5,2025-06-25,AAPL,sideways,0.05,5.0,0.0025,167984.41,40.22,0.0201,215885.17,69.17,0.0346,355095.42,66.15,0.0331,261035.01,0.05,1024299.5,Defector
6,2025-06-20,AAPL,bull,1.39,5.0,0.0695,138363.9,39.32,0.5465,207132.47,66.44,0.9235,378809.04,63.75,0.8862,275694.59,1.39,1038537.27,Defector
7,2025-06-16,AAPL,bull,0.57,47.86,0.2728,128138.41,36.9,0.2103,173447.22,66.99,0.3818,409443.83,62.94,0.3588,288970.54,0.57,1044456.93,Defector
8,2025-06-11,AAPL,sideways,-2.32,47.86,-1.1104,125301.32,45.84,-1.0635,172650.84,31.5,-0.7308,458609.1,63.44,-1.4718,243438.75,-2.32,1020225.53,Signal Follower
9,2025-06-06,AAPL,sideways,0.45,10.17,0.0458,114760.54,36.32,0.1634,192002.57,10.0,0.045,419438.91,38.0,0.171,273797.98,0.45,1024816.54,Tit-for-Tat
10,2025-06-03,AAPL,bull,0.95,11.28,0.1071,99628.33,18.23,0.1732,172225.29,70.92,0.6737,467929.32,31.1,0.2955,260217.06,0.95,1034552.3,Defector
